order_id,product_id,customer_id,employee_id,shipper_id,order_date,required_date,shipped_date,ship_status,ship_city,ship_region,ship_postal_code,ship_country,trx_unit_price,quantity,discount,discount_pct,net_sales,freight_alloc,sales_plus_freight,is_late,is_risk
10248,11,VINET,5,3,2023-12-16,2024-01-13,2023-12-28,On time,Reims,,51100,France,14.0,12,0.0,0,168.0,12.36,180.36,0,0
10248,42,VINET,5,3,2023-12-16,2024-01-13,2023-12-28,On time,Reims,,51100,France,9.8,10,0.0,0,98.0,7.21,105.21,0,0
10248,72,VINET,5,3,2023-12-16,2024-01-13,2023-12-28,On time,Reims,,51100,France,34.8,5,0.0,0,174.0,12.8,186.8,0,0
10249,14,TOMSP,6,1,2023-12-17,2024-01-28,2023-12-22,On time,MÃ¼nster,,44087,Germany,18.6,9,0.0,0,167.4,1.04,168.44,0,0
10249,51,TOMSP,6,1,2023-12-17,2024-01-28,2023-12-22,On time,MÃ¼nster,,44087,Germany,42.4,40,0.0,0,1696.0,10.57,1706.57,0,0
10250,41,HANAR,4,2,2023-12-20,2024-01-17,2023-12-24,On time,Rio de Janeiro,RJ,05454-876,Brazil,7.7,10,0.0,0,77.0,3.26,80.26,0,0
10250,51,HANAR,4,2,2023-12-20,2024-01-17,2023-12-24,On time,Rio de Janeiro,RJ,05454-876,Brazil,42.4,35,0.15,15,1261.4,53.48,1314.88,0,0
10250,65,HANAR,4,2,2023-12-20,2024-01-17,2023-12-24,On time,Rio de Janeiro,RJ,05454-876,Brazil,16.8,15,0.15,15,214.2,9.08,223.28,0,0
10251,22,VICTE,3,1,2023-12-20,2024-01-17,2023-12-27,On time,Lyon,,69004,France,16.8,6,0.05,5,95.76,6.05,101.81,0,0
10251,57,VICTE,3,1,2023-12-20,2024-01-17,2023-12-27,On time,Lyon,,69004,France,15.6,15,0.05,5,222.3,14.05,236.35,0,0
10251,65,VICTE,3,1,2023-12-20,2024-01-17,2023-12-27,On time,Lyon,,69004,France,16.8,20,0.0,0,336.0,21.24,357.24,0,0
10252,20,SUPRD,4,2,2023-12-21,2024-01-18,2023-12-23,On time,Charleroi,,B-6000,Belgium,64.8,40,0.05,5,2462.4,35.11,2497.51,0,0
10252,33,SUPRD,4,2,2023-12-21,2024-01-18,2023-12-23,On time,Charleroi,,B-6000,Belgium,2.0,25,0.05,5,47.5,0.68,48.18,0,0
10252,60,SUPRD,4,2,2023-12-21,2024-01-18,2023-12-23,On time,Charleroi,,B-6000,Belgium,27.2,40,0.0,0,1088.0,15.51,1103.51,0,0
10253,31,HANAR,3,2,2023-12-22,2024-01-05,2023-12-28,On time,Rio de Janeiro,RJ,05454-876,Brazil,10.0,20,0.0,0,200.0,8.05,208.05,0,0
10253,39,HANAR,3,2,2023-12-22,2024-01-05,2023-12-28,On time,Rio de Janeiro,RJ,05454-876,Brazil,14.4,42,0.0,0,604.8,24.35,629.15,0,0
10253,49,HANAR,3,2,2023-12-22,2024-01-05,2023-12-28,On time,Rio de Janeiro,RJ,05454-876,Brazil,16.0,40,0.0,0,640.0,25.77,665.77,0,0
10254,24,CHOPS,5,2,2023-12-23,2024-01-20,2024-01-04,On time,Bern,,3012,Switzerland,3.6,15,0.15,15,45.9,1.89,47.79,0,0
10254,55,CHOPS,5,2,2023-12-23,2024-01-20,2024-01-04,On time,Bern,,3012,Switzerland,19.2,21,0.15,15,342.72,14.15,356.87,0,0
10254,74,CHOPS,5,2,2023-12-23,2024-01-20,2024-01-04,On time,Bern,,3012,Switzerland,8.0,21,0.0,0,168.0,6.94,174.94,0,0
10255,2,RICSU,9,3,2023-12-24,2024-01-21,2023-12-27,On time,GenÃ¨ve,,1204,Switzerland,15.2,20,0.0,0,304.0,18.11,322.11,0,0
10255,16,RICSU,9,3,2023-12-24,2024-01-21,2023-12-27,On time,GenÃ¨ve,,1204,Switzerland,13.9,35,0.0,0,486.5,28.98,515.48,0,0
10255,36,RICSU,9,3,2023-12-24,2024-01-21,2023-12-27,On time,GenÃ¨ve,,1204,Switzerland,15.2,25,0.0,0,380.0,22.63,402.63,0,0
10255,59,RICSU,9,3,2023-12-24,2024-01-21,2023-12-27,On time,GenÃ¨ve,,1204,Switzerland,44.0,30,0.0,0,1320.0,78.62,1398.62,0,0
10256,53,WELLI,3,2,2023-12-27,2024-01-24,2023-12-29,On time,Resende,SP,08737-363,Brazil,26.2,15,0.0,0,393.0,10.6,403.6,0,0
10256,77,WELLI,3,2,2023-12-27,2024-01-24,2023-12-29,On time,Resende,SP,08737-363,Brazil,10.4,12,0.0,0,124.8,3.37,128.17,0,0
10257,27,HILAA,4,3,2023-12-28,2024-01-25,2024-01-03,On time,San CristÃ³bal,TÃ¡chira,5022,Venezuela,35.1,25,0.0,0,877.5,64.18,941.68,0,0
10257,39,HILAA,4,3,2023-12-28,2024-01-25,2024-01-03,On time,San CristÃ³bal,TÃ¡chira,5022,Venezuela,14.4,6,0.0,0,86.4,6.32,92.72,0,0
10257,77,HILAA,4,3,2023-12-28,2024-01-25,2024-01-03,On time,San CristÃ³bal,TÃ¡chira,5022,Venezuela,10.4,15,0.0,0,156.0,11.41,167.41,0,0
10258,2,ERNSH,1,1,2023-12-29,2024-01-26,2024-01-04,On time,Graz,,8010,Austria,15.2,50,0.2,20,608.0,52.9,660.9,0,0
10258,5,ERNSH,1,1,2023-12-29,2024-01-26,2024-01-04,On time,Graz,,8010,Austria,17.0,65,0.2,20,884.0,76.92,960.92,0,0
10258,32,ERNSH,1,1,2023-12-29,2024-01-26,2024-01-04,On time,Graz,,8010,Austria,25.6,6,0.2,20,122.88,10.69,133.57,0,0
10259,21,CENTC,4,3,2023-12-30,2024-01-27,2024-01-06,On time,MÃ©xico D.F.,,5022,Mexico,8.0,10,0.0,0,80.0,2.58,82.58,0,0
10259,37,CENTC,4,3,2023-12-30,2024-01-27,2024-01-06,On time,MÃ©xico D.F.,,5022,Mexico,20.8,1,0.0,0,20.8,0.67,21.47,0,0
10260,41,OTTIK,4,1,2023-12-31,2024-01-28,2024-01-10,On time,KÃ¶ln,,50739,Germany,7.7,16,0.25,25,92.4,3.38,95.78,0,0
10260,57,OTTIK,4,1,2023-12-31,2024-01-28,2024-01-10,On time,KÃ¶ln,,50739,Germany,15.6,50,0.0,0,780.0,28.56,808.56,0,0
10260,62,OTTIK,4,1,2023-12-31,2024-01-28,2024-01-10,On time,KÃ¶ln,,50739,Germany,39.4,15,0.25,25,443.25,16.23,459.48,0,0
10260,70,OTTIK,4,1,2023-12-31,2024-01-28,2024-01-10,On time,KÃ¶ln,,50739,Germany,12.0,21,0.25,25,189.0,6.92,195.92,0,0
10261,21,QUEDE,4,2,2023-12-31,2024-01-28,2024-01-11,On time,Rio de Janeiro,RJ,02389-673,Brazil,8.0,20,0.0,0,160.0,1.09,161.09,0,0
10261,35,QUEDE,4,2,2023-12-31,2024-01-28,2024-01-11,On time,Rio de Janeiro,RJ,02389-673,Brazil,14.4,20,0.0,0,288.0,1.96,289.96,0,0
10262,5,RATTC,8,3,2024-01-03,2024-01-31,2024-01-06,On time,Albuquerque,NM,87110,USA,17.0,12,0.2,20,163.2,13.49,176.69,0,0
10262,7,RATTC,8,3,2024-01-03,2024-01-31,2024-01-06,On time,Albuquerque,NM,87110,USA,24.0,15,0.0,0,360.0,29.77,389.77,0,0
10262,56,RATTC,8,3,2024-01-03,2024-01-31,2024-01-06,On time,Albuquerque,NM,87110,USA,30.4,2,0.0,0,60.8,5.03,65.83,0,0
